_id,text,error
BM.36413,"5'-6' compare end of An : Anum III, but ŠUL mul is hard to reconcile with catchline of An : Anum IV (@sux{{d}inana} : @akk{{d}iš-tar}, should be a separate, additional entry 
8'-15' looks like An : Anum IV 266-273, may improve Litke's edition if it hasn't been improved already, which only cites main YBC source [JLP]","Invalid markup: 5'-6' compare end of An : Anum III, but ŠUL mul is hard to reconcile with catchline of An : Anum IV ({d}inana : {d}iš-tar, should be a separate, additional entry 
8'-15' looks like An : Anum IV 266-273, may improve Litke's edition if it hasn't been improved already, which only cites main YBC source [JLP]. No terminal defined for '{' at line 1 col 102

concile with catchline of An : Anum IV ({d}inana : {d}iš-tar, should be a separa
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.36445,"See BM.36066, BM.35697 & BM.35702 [AH]


reference in AfO 44-45, 180b fn. 39 (11': ""@akk{MUL KASKAL {d}UTU} = @akk{MIN} (Mercury?) @akk{ina ŠA₃ {mul}zi-ba-ni-tum} ..."") should be to BM.36445, not BM.36455.","Invalid markup: See BM.36066, BM.35697 & BM.35702 [AH]


reference in AfO 44-45, 180b fn. 39 (11': ""MUL KASKAL {d}UTU = MIN (Mercury?) ina ŠA₃ {mul}zi-ba-ni-tum ..."") should be to BM.36445, not BM.36455.. No terminal defined for '{' at line 1 col 55

fO 44-45, 180b fn. 39 (11': ""MUL KASKAL {d}UTU = MIN (Mercury?) ina ŠA₃ {mul}zi-
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.36455,"reference in AfO 44-45, 180b fn. 39 (11': ""@akk{MUL KASKAL {d}UTU} = @akk{MIN} (Mercury?) @akk{ina ŠA₃ {mul}zi-ba-ni-tum} ..."") should be to BM.36445, not BM.36455.","Invalid markup: reference in AfO 44-45, 180b fn. 39 (11': ""MUL KASKAL {d}UTU = MIN (Mercury?) ina ŠA₃ {mul}zi-ba-ni-tum ..."") should be to BM.36445, not BM.36455.. No terminal defined for '{' at line 1 col 55

fO 44-45, 180b fn. 39 (11': ""MUL KASKAL {d}UTU = MIN (Mercury?) ina ŠA₃ {mul}zi-
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.36623,"Ḫarra IV & V

The student probably jumped from IV 145b to 208, as 145b has @sux{{giš}giri₃-gub zu₂ am-si si-si-ga} and 208 has @sux{{giš}ka-kara₂ zu am-si si-(si)-ga} [TM]","Invalid markup: Ḫarra IV & V

The student probably jumped from IV 145b to 208, as 145b has {giš}giri₃-gub zu₂ am-si si-si-ga and 208 has {giš}ka-kara₂ zu am-si si-(si)-ga [TM]. No terminal defined for '{' at line 1 col 62

jumped from IV 145b to 208, as 145b has {giš}giri₃-gub zu₂ am-si si-si-ga and 20
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.37001,"compare DT.157 rev, erroneous plene/pleonastic rendering of @akk{{d}TIR.AN.NA}","Invalid markup: compare DT.157 rev, erroneous plene/pleonastic rendering of {d}TIR.AN.NA. No terminal defined for '{' at line 1 col 61

erroneous plene/pleonastic rendering of {d}TIR.AN.NA
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.37267,@akk{{zi₂}MAD.GA₂},"Invalid markup: {zi₂}MAD.GA₂. No terminal defined for '{' at line 1 col 1

{zi₂}MAD.GA₂
^
Expected one of: 
	* __ANON_7
	* AT
	* __ANON_8
	* __ANON_12
	* __ANON_11
"
BM.37322,"god list? circle of Enlil, possibly @sux{{d}+en-[lil₂]} as a qualifying column? [JLP]","Invalid markup: god list? circle of Enlil, possibly {d}+en-[lil₂] as a qualifying column? [JLP]. No terminal defined for '{' at line 1 col 37

god list? circle of Enlil, possibly {d}+en-[lil₂] as a qualifying column? [J
                                    ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.37545,o?2 @sux{eridu{ki}},"Invalid markup: o?2 eridu{ki}. No terminal defined for '{' at line 1 col 10

o?2 eridu{ki}
         ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.37856,§3: Ḫḫ XIV (@sux{šaḫ {giš}gi} ff.),"Invalid markup: §3: Ḫḫ XIV (šaḫ {giš}gi ff.). No terminal defined for '{' at line 1 col 17

§3: Ḫḫ XIV (šaḫ {giš}gi ff.)
                ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.38095,"cf. BM.37724
Lambert’s transliteration has e₂ throughout, despite noting it is a divine boat list. Should @sux{e₂} be emended to @sux{{giš}ma₂} ?","Invalid markup: cf. BM.37724
Lambert’s transliteration has e₂ throughout, despite noting it is a divine boat list. Should e₂ be emended to {giš}ma₂ ?. No terminal defined for '{' at line 1 col 124

vine boat list. Should e₂ be emended to {giš}ma₂ ?
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.38337,"astronomical? @akk{{mul₄}SAG.UŠ}, @akk{{mul₄}GU₄.UD}","Invalid markup: astronomical? {mul₄}SAG.UŠ, {mul₄}GU₄.UD. No terminal defined for '{' at line 1 col 15

astronomical? {mul₄}SAG.UŠ, {mul₄}GU₄.UD
              ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.38388,"obverse g/k-ṣ/z-ṣ/z Akkadian section, similar but not identical to Nabnitu C (K.4314) 256f. reverse @sux{{giš}mitum} section, should be missing section of Nabnitu [JLP]","Invalid markup: obverse g/k-ṣ/z-ṣ/z Akkadian section, similar but not identical to Nabnitu C (K.4314) 256f. reverse {giš}/mitum/ section, should be missing section of Nabnitu [JLP]. No terminal defined for '{' at line 1 col 101

cal to Nabnitu C (K.4314) 256f. reverse {giš}/mitum/ section, should be missing 
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.38481,"end of a balag and beginning of an eršema whose incipit starts with @sux{dilmun{ki} nigin-na}
+ Marduk balag (@sux{še-eb e₂-sag-il₂-la}) -> @i{umun šermala an kia} or @i{ušumgin ni sia}?

(Collated from photos taken in the BM (11/2021) [TM])

r 9'-17' // BM.36198 2'-10' [ZsF]","Invalid markup: end of a balag and beginning of an eršema whose incipit starts with dilmun{ki} nigin-na
+ Marduk balag (še-eb e₂-sag-il₂-la) -> umun šermala an kia or ušumgin ni sia?

(Collated from photos taken in the BM (11/2021) [TM])

r 9'-17' // BM.36198 2'-10' [ZsF]. No terminal defined for '{' at line 1 col 75

 eršema whose incipit starts with dilmun{ki} nigin-na + Marduk balag (še-eb e₂-s
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.38732,"CCP 3.1.20.D - Enūma Anu Enlil 20 and 21 D (or 17 and 18, 17 month of @sux{{iti}KIN}, compare K.3775?), @i{mašʾaltu}","Invalid markup: CCP 3.1.20.D - Enūma Anu Enlil 20 and 21 D (or 17 and 18, 17 month of {iti}KIN, compare K.3775?), mašʾaltu. No terminal defined for '{' at line 1 col 71

 20 and 21 D (or 17 and 18, 17 month of {iti}KIN, compare K.3775?), mašʾaltu
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.38957,@akk{UKKIN TIN.TIR{ki}-MEŠ},"Invalid markup: UKKIN TIN.TIR{ki}-MEŠ. No terminal defined for '{' at line 1 col 14

UKKIN TIN.TIR{ki}-MEŠ
             ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.38870,medical? (@akk{{u₂}TAR.MUŠ}),"Invalid markup: medical? ({u₂}tar-muš). No terminal defined for '{' at line 1 col 11

medical? ({u₂}tar-muš)
          ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.39060,Nabonid? (@akk{{d}AG-I}) ?,"Invalid markup: Nabonid? ({d}AG-I) ?. No terminal defined for '{' at line 1 col 11

Nabonid? ({d}AG-I) ?
          ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.39355,cp. @sux{mu-tin nu-nus dim₂-ma} a+14; @sux{e₂-tur₃-gin₇ nigin-na-am₃} 21; @sux{{d}utu-gin₇ e₃-ta} 145 [TM],"Invalid markup: cp. mu-tin nu-nus dim₂-ma a+14; e₂-tur₃-gin₇ nigin-na-am₃ 21; {d}utu-gin₇ e₃-ta 145 [TM]. No terminal defined for '{' at line 1 col 63

-ma a+14; e₂-tur₃-gin₇ nigin-na-am₃ 21; {d}utu-gin₇ e₃-ta 145 [TM]
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.38937,@sux{uru₂-zu tin-tir{ki}} etc.,"Invalid markup: uru₂-zu tin-tir{ki} etc.. No terminal defined for '{' at line 1 col 16

uru₂-zu tin-tir{ki} etc.
               ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.39399,"Weidner god list, rev not entered, PNs @akk{{d}AG}-...? [JLP]","Invalid markup: Weidner god list, rev not entered, PNs {d}AK-...? [JLP]. No terminal defined for '{' at line 1 col 40

Weidner god list, rev not entered, PNs {d}AK-...? [JLP]
                                       ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.39413,medical? (@akk{{u₂}HAR.HAR}),"Invalid markup: medical? ({u₂}HAR.HAR). No terminal defined for '{' at line 1 col 11

medical? ({u₂}HAR.HAR)
          ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.39670,"cf. BM.83026 (Eršema @sux{dilmun{ki} nigin-na})
see also @sux{abzu pe-el-la₂-am₃}","Invalid markup: cf. BM.83026 (Eršema dilmun{ki} nigin-na)
see also abzu pellam. No terminal defined for '{' at line 1 col 28

cf. BM.83026 (Eršema dilmun{ki} nigin-na) see also abzu pellam
                           ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.39786,@sux{{d}lugal.er₉.ra},"Invalid markup: {d}lugal.er₉.ra. No terminal defined for '{' at line 1 col 1

{d}lugal.er₉.ra
^
Expected one of: 
	* __ANON_7
	* AT
	* __ANON_8
	* __ANON_12
	* __ANON_11
"
BM.39736,"@sux{{d}nin-urta-kam@v-ma?}

bilingual?","Invalid markup: {d}nin-urta-kam@v-ma?

bilingual?. No terminal defined for '{' at line 1 col 1

{d}nin-urta-kam@v-ma?
^
Expected one of: 
	* __ANON_7
	* AT
	* __ANON_8
	* __ANON_12
	* __ANON_11
"
BM.40253,"ura 9, @sux{{gi}ma-sa₂-ab} section, covers missing section 116-122 [JLP]","Invalid markup: ura 9, {gi}ma-sa₂-ab section, covers missing section 116-122 [JLP]. No terminal defined for '{' at line 1 col 8

ura 9, {gi}ma-sa₂-ab section, covers missing se
       ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.40758,ikribus concerning @i{sûrtu} and @i{lahanu} (obv 13 @akk{{d?#}UTU?# u# {d}IŠKUR}),"Invalid markup: ikribus concerning sûrtu and lahanu (obv 13 {d?#}UTU?# u# {d}IŠKUR). No terminal defined for '{' at line 1 col 45

bus concerning sûrtu and lahanu (obv 13 {d?#}UTU?# u# {d}IŠKUR)
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.40943,compare also Robson OECT 16 List L (p. 206): 33;20 is the weight (@akk{KI.LA₂}) of @akk{{sig₄}AL.UR₃.RA} [(...)]; 18 is the @akk{KI.LA₂} of @akk{{sig₄}ŠANABI-ti} [(...)],"Invalid markup: compare also Robson OECT 16 List L (p. 206): 33;20 is the weight (KI.LA₂) of {sig₄}AL.UR₃.RA [(...)]; 18 is the KI.LA₂ of {sig₄}ŠANABI-ti [(...)]. No terminal defined for '{' at line 1 col 78

. 206): 33;20 is the weight (KI.LA₂) of {sig₄}AL.UR₃.RA [(...)]; 18 is the KI.LA
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.41003,,"Invalid markup: 
. Unexpected end-of-input. Expected one of: 
	* __ANON_7
	* AT
	* __ANON_8
	* __ANON_8
	* __ANON_12
	* __ANON_12
	* __ANON_11
"
BM.41328,,"Invalid markup: 
. Unexpected end-of-input. Expected one of: 
	* __ANON_7
	* AT
	* __ANON_8
	* __ANON_8
	* __ANON_12
	* __ANON_12
	* __ANON_11
"
BM.41717,"chronicle? [ZsF] cf. Babylonian Chronicle

rev? compare Grayson Chronicle I iv 33-36 (even though there, the gods go from Ashur (!) to Babylon - compare also Shibata, Orient 49 with a possible intentional distortion of @akk{BAL.TIL{ki}} as @akk{BAL{ki}} in the bilingual royal inscription of Šamaš-šum-ukīn RIMB 2, B.6.33.1) [TM]


Esarhaddon in Chronicle I from iii 38 - iv 33","Invalid markup: chronicle? [ZsF] cf. Babylonian Chronicle

rev? compare Grayson Chronicle I iv 33-36 (even though there, the gods go from Ashur (!) to Babylon - compare also Shibata, Orient 49 with a possible intentional distortion of BAL.TIL{ki} as BAL{ki} in the bilingual royal inscription of Šamaš-šum-ukīn RIMB 2, B.6.33.1) [TM]


Esarhaddon in Chronicle I from iii 38 - iv 33. No terminal defined for '{' at line 1 col 184

ssible intentional distortion of BAL.TIL{ki} as BAL{ki} in the bilingual royal i
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.41960,"stillbirth? (@akk{ŠU {d}ku₃-bu})
non-physical join BM.41897+; most likely SA.GIG 30 [ES]","Invalid markup: stillbirth? (ŠU {d}ku₃-bu)
non-physical join BM.41897+; most likely SA.GIG 30 [ES]. No terminal defined for '{' at line 1 col 17

stillbirth? (ŠU {d}ku₃-bu) non-physical join BM.41897+; 
                ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.42858,7': @akk{{m}ar-ša₂-ka-a LUG[AL ...]},"Invalid markup: 7': {m}ar-ša₂-ka-a LUG[AL. No terminal defined for '{' at line 1 col 5

7': {m}ar-ša₂-ka-a LUG[AL
    ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.42867,2': 30 @akk{ar₂ {mul₂}BABBAR 1 ½ KUŠ₃},"Invalid markup: 2': 30 ar₂ {mul₂}BABBAR 1 1/2 KUŠ₃. No terminal defined for '{' at line 1 col 12

2': 30 ar₂ {mul₂}BABBAR 1 1/2 KUŠ₃
           ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.45428,"from Leichty Folio; not collated
o 11'-13' // // K.2208+ i 21-23, hence EAE 31? [ZsF]
rev. seems // K.3922+ [ZsF]
rev. // K.3609, @akk{{iti}ŠU} and @akk{{iti}NE} [JLP]","Invalid markup: from Leichty Folio; not collated
o 11'-13' // // K.2208+ i 21-23, hence EAE 31? [ZsF]
rev. seems // K.3922+ [ZsF]
rev. // K.3609, {iti}ŠU and {iti}NE [JLP]. No terminal defined for '{' at line 1 col 131

 seems // K.3922+ [ZsF] rev. // K.3609, {iti}ŠU and {iti}NE [JLP]
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.50705,6 very narrow columns; col.3 lists masc. PNs with @akk{{d}NA₃}; col.4 fem. PNs with Tuqnu,"Invalid markup: 6 very narrow columns; col.3 lists masc. PNs with {d}NA₃; col.4 fem. PNs with Tuqnu. No terminal defined for '{' at line 1 col 51

row columns; col.3 lists masc. PNs with {d}NA₃; col.4 fem. PNs with Tuqnu
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.54316,"@sux{{d}innin ša₃ gur₄-ra}, MS not in Sjöberg 1975","Invalid markup: {d}innin ša₃ gur₄-ra, MS not in Sjöberg 1975. No terminal defined for '{' at line 1 col 1

{d}innin ša₃ gur₄-ra, MS not in Sjöberg 
^
Expected one of: 
	* __ANON_7
	* AT
	* __ANON_8
	* __ANON_12
	* __ANON_11
"
BM.60794,"// BM.76206
+ BM.66141 [TM], restored accordingly

// or (+) F.138 ? [TM]

-> @akk{{iti}BARA₂.SAG.SAG}","Invalid markup: // BM.76206
+ BM.66141 [TM], restored accordingly

// or (+) F.138 ? [TM]

-> {iti}BARA₂.SAG.SAG. No terminal defined for '{' at line 1 col 4

-> {iti}BARA₂.SAG.SAG
   ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.66635,@akk{[BALA]G ša₂ {d}en-lil₂ NU AL.TIL},"Invalid markup: [bala]g ša₂ {d}en-lil₂ nu al-til. No terminal defined for '{' at line 1 col 13

[bala]g ša₂ {d}en-lil₂ nu al-til
            ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.71950,"legal proceedings? [ZsF]
@sux{{d}en da nu} also in BM.37466 [TM]
could be a PN too [ZsF]","Invalid markup: legal proceedings? [ZsF]
{d}en da nu also in BM.37466 [TM]
could be a PN too [ZsF]. No terminal defined for '{' at line 1 col 26

legal proceedings? [ZsF] {d}en da nu also in BM.37466 [TM] could 
                         ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.72949,"cf. K.10378 and parallel sections Balag @sux{{d}utu-gin₇ e₃-ta} [TM]
(not collated)","Invalid markup: cf. K.10378 and parallel sections Balag {d}utu-gin₇ e₃-ta [TM]
(not collated). No terminal defined for '{' at line 1 col 41

cf. K.10378 and parallel sections Balag {d}utu-gin₇ e₃-ta [TM] (not collated)
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.73556,"Some lines, including obv.ll.1'-3', are not same with Gesche AOAT 275, p.612

@akk{{d#}}/@akk{[MU]L} (Lambert)","Invalid markup: Some lines, including obv.ll.1'-3', are not same with Gesche AOAT 275, p.612

{d#}/[MU]L (Lambert). No terminal defined for '{' at line 1 col 1

{d#}/[MU]L (Lambert)
^
Expected one of: 
	* __ANON_7
	* AT
	* __ANON_8
	* __ANON_12
	* __ANON_11
"
BM.83026,"Eršema @sux{dilmun{ki} nigin-na}, etc. w/musical instructions, Gabbay Eršema Prayers of the First Millennium II, 276f., Gabbay/Mirelman ZA 101, 291","Invalid markup: Eršema dilmun{ki} nigin-na, etc. w/musical instructions, Gabbay Eršema Prayers of the First Millennium II, 276f., Gabbay/Mirelman ZA 101, 291. No terminal defined for '{' at line 1 col 14

Eršema dilmun{ki} nigin-na, etc. w/musical instructio
             ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.82863,compare BM.39892 (@sux{{d}en ...}; @sux{{d}še}),"Invalid markup: compare BM.39892 ({d}en...; {d}še). No terminal defined for '{' at line 1 col 19

compare BM.39892 ({d}en...; {d}še)
                  ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.98602,5' @akk{{na₄}ZU₂.LUM} ? [ZsF],"Invalid markup: 5' {na₄}ZU₂.LUM ? [ZsF]. No terminal defined for '{' at line 1 col 4

5' {na₄}ZU₂.LUM ? [ZsF]
   ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.98596,"@akk{DIŠ 30 ina {iti}BARA₂ TUR₃ NIGIN₂-ma}, // K.2134+ obv. 19f., 1882,0323.139 (+), K.10422, BM.38295, BM.98596 [JLP]
reverse almost entirely illegible","Invalid markup: DIŠ 30 ina {iti}BARA₂ TUR₃ NIGIN₂-ma, // K.2134+ obv. 19f., 1882,0323.139 (+), K.10422, BM.38295, BM.98596 [JLP]
reverse almost entirely illegible. No terminal defined for '{' at line 1 col 12

DIŠ 30 ina {iti}BARA₂ TUR₃ NIGIN₂-ma, // K.2134+ ob
           ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.98625,"RB: nach Zeile 4 weitere @akk{{d}IŠKUR}
EAE 45, r. 3'-5' (see Gehlken 2012, 46-47; BM.98625 is mentioned as possibly containing some omens from EAE 45 in 47 fn. 4) [AH]","Invalid markup: RB: nach Zeile 4 weitere {d}IŠKUR
EAE 45, r. 3'-5' (see Gehlken 2012, 46-47; BM.98625 is mentioned as possibly containing some omens from EAE 45 in 47 fn. 4) [AH]. No terminal defined for '{' at line 1 col 26

RB: nach Zeile 4 weitere {d}IŠKUR EAE 45, r. 3'-5' (see Gehlken 2
                         ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
BM.98994,"Aufzählungen von Gefäßen, Tieren etc.:
obv. 5' @akk{PAB an-ni-u₂ {udu}SISKUR-MEŠ}
    11' @akk{[PA]B an-ni-u₂ ša GAL-ME[Š]}
    13' end of obverse

%(portrait)%","Invalid markup: Aufzählungen von Gefäßen, Tieren etc.:
obv. 5' PAB an-ni-u₂ {udu}SISKUR-MEŠ
    11' [PA]B an-ni-u₂ ša GAL-ME[Š]
    13' end of obverse

%(portrait)%. No terminal defined for '{' at line 1 col 61

äßen, Tieren etc.: obv. 5' PAB an-ni-u₂ {udu}SISKUR-MEŠ 11' [PA]B an-ni-u₂ ša GA
                                        ^
Expected one of: 
	* __ANON_12
	* __ANON_11
	* __ANON_8
	* AT
	* __ANON_7
"
