,Join,Fragment_1,Fragment_2,ArithNCD,BWTRLENCD,BZ2NCD,Bag,Cosine,DamerauLevenshtein,Editex,EntropyNCD,Gotoh,Hamming,Identity,Jaccard,Jaro,JaroWinkler,LCSSeq,LCSStr,LZMANCD,Length,Levenshtein,MLIPNS,MRA,Matrix,MongeElkan,NeedlemanWunsch,Overlap,Postfix,Prefix,RLENCD,RatcliffObershelp,SmithWaterman,Sorensen,SqrtNCD,StrCmp95,Tanimoto,Tversky,ZLIBNCD
10,Rm.304 + Rm-II.333,1111111111111211112111125,1211112111125,0.82,0.6,0.07,0.48,0.28,0.48,0.0,0.07,0.21,0.64,1.0,0.48,0.27,0.24,0.48,0.48,0.0,0.48,0.48,1.0,0.0,1.0,0.98,0.48,0.0,0.48,0.96,1.0,0.32,0.0,0.32,0.49,0.27,1.94,0.48,0.15
11,K.3701 + K.11364,"111112111111121121111111111215, 01111111112111111112112112111121121112112121111111",11111111211211,1.02,0.84,0.44,0.83,0.59,0.83,0.22,0.18,1.01,0.88,1.0,0.83,0.32,0.32,0.83,0.83,0.27,0.83,0.83,1.0,0.5,1.0,0.99,0.83,0.0,0.98,0.94,0.96,0.71,0.36,0.71,0.75,0.32,3.55,0.83,0.62
12,K.9779 + Rm.152,1121111111111121115,121121111112112111,1.07,0.69,0.14,0.16,0.13,0.21,0.16,0.03,0.14,0.26,1.0,0.24,0.13,0.12,0.16,0.53,0.07,0.05,0.21,0.0,0.5,1.0,0.98,0.16,0.11,1.0,0.95,0.85,0.19,0.22,0.14,0.5,0.13,1.39,0.24,0.36
13,K.9408 + K.12793 ,11121211121,11212111211,0.89,0.2,0.08,0.0,0.0,0.18,0.0,0.0,0.14,0.55,1.0,0.0,0.09,0.07,0.09,0.09,0.07,0.0,0.18,1.0,0.0,1.0,0.95,0.14,0.0,0.91,0.82,0.8,0.09,0.18,0.0,0.41,0.09,1.0,0.0,0.15
14, K.12793 + K.17348,11212111211,1211111,1.11,0.7,0.15,0.36,0.2,0.36,0.18,0.09,0.2,0.64,1.0,0.36,0.17,0.15,0.36,0.55,0.15,0.36,0.36,1.0,1.0,1.0,0.95,0.36,0.0,0.82,0.91,0.8,0.22,0.14,0.22,0.5,0.17,1.65,0.36,0.38
15,K.9644 (+) K.17528,"12115, 0111121121121211111111211",121111,1.07,0.9,0.39,0.81,0.57,0.81,0.38,0.29,0.92,0.88,1.0,0.81,0.27,0.16,0.81,0.81,0.29,0.81,0.81,1.0,1.0,1.0,0.99,0.81,0.0,0.94,0.88,0.96,0.68,0.33,0.68,0.77,0.27,3.42,0.81,0.54
16,K.17528 + K.19346,121111,112112112121,1.0,0.71,0.19,0.5,0.29,0.5,0.25,0.11,0.35,0.75,1.0,0.5,0.22,0.2,0.5,0.67,0.14,0.5,0.5,1.0,1.0,1.0,0.92,0.5,0.0,0.92,0.92,0.83,0.33,0.33,0.33,0.54,0.22,2.0,0.5,0.38
17, K.19346 + K.19804,112112112121,1121211111111,1.6,0.71,0.15,0.23,0.2,0.31,0.15,0.09,0.17,0.38,1.0,0.33,0.17,0.1,0.31,0.54,0.0,0.08,0.31,1.0,0.5,1.0,0.96,0.19,0.17,0.92,0.69,0.92,0.52,0.33,0.2,0.43,0.17,1.58,0.33,0.31
18,K.9876 + K.14070,"0121121211111111121211111111112121111111111212111, 121211111111111111111111111111111111212111115","1121211111115, 0111121211",1.05,0.71,0.33,0.74,0.49,0.76,0.14,0.06,0.66,0.86,1.0,0.74,0.35,0.35,0.76,0.88,0.22,0.74,0.76,1.0,1.0,1.0,0.99,0.75,0.0,1.0,1.0,1.0,0.65,0.4,0.59,0.57,0.35,2.94,0.74,0.59
19,K.10802 + K.16720,012121121212121,012121,1.05,0.38,0.08,0.6,0.37,0.6,0.53,0.03,0.35,0.6,1.0,0.6,0.2,0.12,0.6,0.6,0.21,0.6,0.6,1.0,0.0,1.0,0.97,0.6,0.0,0.67,0.6,1.0,0.43,0.17,0.43,0.54,0.2,2.32,0.6,0.46
20,K.2459 + K.14899,0111121212121212121211211,121212121212121,1.12,0.86,0.29,0.4,0.23,0.4,0.2,0.06,0.17,0.52,1.0,0.4,0.27,0.27,0.4,0.4,0.14,0.4,0.4,1.0,0.5,1.0,0.98,0.4,0.0,0.96,1.0,0.96,0.25,0.13,0.25,0.55,0.27,1.74,0.4,0.38
21,K.191 + K.22170,12111212112111211121,121121,0.83,0.5,0.12,0.7,0.45,0.7,0.35,0.0,0.52,0.8,1.0,0.7,0.29,0.17,0.7,0.7,0.19,0.7,0.7,1.0,0.5,1.0,0.97,0.7,0.0,0.8,0.8,1.0,0.54,0.17,0.54,0.59,0.29,2.74,0.7,0.24
22,Rm.304 + Rm-II.333,1111111111111211112111125,1211112111125,0.82,0.6,0.07,0.48,0.28,0.48,0.0,0.07,0.21,0.64,1.0,0.48,0.27,0.24,0.48,0.48,0.0,0.48,0.48,1.0,0.0,1.0,0.98,0.48,0.0,0.48,0.96,1.0,0.32,0.0,0.32,0.49,0.27,1.94,0.48,0.15
23,K.2196 + K.6655,12111112111111111111121111121111211,11121111211121121121121112112111,1.0,1.0,0.16,0.17,0.13,0.29,0.09,0.07,0.16,0.37,1.0,0.24,0.15,0.13,0.23,0.69,0.06,0.09,0.29,1.0,0.0,1.0,0.99,0.2,0.09,0.94,0.97,0.92,0.67,0.25,0.13,0.42,0.15,1.39,0.24,0.22
24,K.6655 + K.9084,11121111211121121121121112112111,"112111211211112112111121111211, 111111111211111211111111",1.04,0.86,0.34,0.43,0.24,0.45,0.05,0.04,0.24,0.73,1.0,0.43,0.23,0.18,0.45,0.77,0.17,0.43,0.46,1.0,0.0,1.0,0.98,0.45,0.0,0.95,0.96,0.94,0.7,0.28,0.27,0.57,0.23,1.81,0.43,0.54
25,K.9779 + Rm.152,1121111111111121115,121121111112112111,1.07,0.69,0.14,0.16,0.13,0.21,0.16,0.03,0.14,0.26,1.0,0.24,0.13,0.12,0.16,0.53,0.07,0.05,0.21,0.0,0.5,1.0,0.98,0.16,0.11,1.0,0.95,0.85,0.19,0.22,0.14,0.5,0.13,1.39,0.24,0.36
26,K.9489 + K.16340,11121111111211112111111,11121111211111,0.69,0.62,0.07,0.39,0.22,0.39,0.04,0.01,0.17,0.48,1.0,0.39,0.15,0.09,0.39,0.39,0.07,0.39,0.39,1.0,0.5,1.0,0.98,0.39,0.0,0.78,0.65,0.82,0.24,0.07,0.24,0.49,0.15,1.72,0.39,0.18
27,K.6807 + K.11999,1121112111211125,1112111211125,1.29,0.38,0.08,0.19,0.1,0.19,0.06,0.0,0.07,0.62,1.0,0.19,0.14,0.11,0.19,0.19,0.0,0.19,0.19,1.0,0.0,1.0,0.97,0.19,0.0,0.19,0.88,1.0,0.1,0.0,0.1,0.44,0.14,1.3,0.19,0.15
28,K.11999 + K.14359,1112111211125,1121112111,1.17,0.75,0.12,0.23,0.12,0.23,0.15,0.13,0.12,0.54,1.0,0.23,0.14,0.11,0.23,0.23,0.07,0.23,0.23,1.0,0.5,1.0,0.96,0.23,0.0,1.0,0.85,0.8,0.13,0.2,0.13,0.54,0.14,1.38,0.23,0.23
mean,,,,1.11,0.66,0.19,0.45,0.29,0.47,0.18,0.06,0.43,0.6,1.0,0.46,0.22,0.18,0.46,0.56,0.13,0.43,0.47,0.83,0.41,1.0,0.97,0.46,0.02,0.83,0.84,0.9,0.41,0.2,0.34,0.54,0.22,2.12,0.46,0.35
